Age,Gender,Education Level,Job Title,Years of Experience,Work Hours,Industry,Salary
70,Female,Phd,Customer Service Rep,52,80,Other,2345
70,Female,Phd,Customer Service Rep,52,80,Other,2218
67,Female,Phd,Data Entry Clerk,45,80,It/Tech,1981
70,Male,Phd,Data Entry Clerk,48,43,It/Tech,1007
61,Male,Phd,Junior Developer,39,80,It/Tech,1523
60,Male,Phd,Junior Developer,38,65,It/Tech,1399
70,Male,Phd,Data Entry Clerk,52,80,It/Tech,2116
70,Female,Phd,Data Entry Clerk,52,78,It/Tech,2167
70,Male,Phd,Customer Service Rep,49,74,Other,1919
70,Female,Phd,Junior Developer,52,80,It/Tech,2715
70,Female,Phd,Junior Developer,52,80,It/Tech,2014
66,Female,Phd,Customer Service Rep,44,80,Other,1848
70,Female,Phd,Customer Service Rep,52,80,Other,2184
70,Male,Phd,Data Entry Clerk,52,80,It/Tech,2225
70,Male,Phd,Junior Developer,50,80,It/Tech,1998
70,Male,Phd,Customer Service Rep,52,74,Other,2045
46,Male,Phd,Customer Service Rep,24,80,Other,1388
70,Female,Phd,Data Entry Clerk,52,80,It/Tech,2366
70,Male,Phd,Customer Service Rep,51,69,Other,1463
69,Female,Phd,Customer Service Rep,47,80,Other,1866
70,Male,Phd,Customer Service Rep,51,80,Other,2415
52,Female,Phd,Customer Service Rep,30,80,Other,1359
70,Male,Phd,Junior Developer,48,80,It/Tech,1838
70,Female,Phd,Data Entry Clerk,52,80,It/Tech,2206
70,Female,Phd,Data Entry Clerk,52,80,It/Tech,2176
67,Male,Phd,Customer Service Rep,45,80,Other,2047
64,Female,Phd,Junior Developer,42,80,It/Tech,1864
67,Female,Phd,Data Entry Clerk,45,80,It/Tech,1991
70,Female,Phd,Customer Service Rep,52,80,Other,2560
70,Male,Phd,Customer Service Rep,52,80,Other,2190
67,Female,Phd,Customer Service Rep,45,80,Other,1588
70,Male,Phd,Junior Developer,52,80,It/Tech,2206
70,Male,Phd,Data Entry Clerk,51,80,It/Tech,1869
70,Male,Phd,Junior Developer,52,80,It/Tech,1976
65,Female,Phd,Data Entry Clerk,43,80,It/Tech,1939
69,Female,Phd,Data Entry Clerk,47,80,It/Tech,1977
68,Female,Phd,Customer Service Rep,46,80,Other,1637
57,Female,Phd,Junior Developer,35,80,It/Tech,1469
70,Male,Phd,Data Entry Clerk,52,80,It/Tech,2201
70,Female,Phd,Junior Developer,52,60,It/Tech,1991
70,Male,Phd,Junior Developer,50,80,It/Tech,2242
70,Female,Phd,Data Entry Clerk,48,80,It/Tech,1868
58,Female,Phd,Data Entry Clerk,36,80,It/Tech,1679
68,Female,Phd,Customer Service Rep,46,42,Other,1505
69,Male,Phd,Data Entry Clerk,47,80,It/Tech,2169
64,Male,Phd,Data Entry Clerk,42,80,It/Tech,1479
70,Female,Phd,Junior Developer,48,80,It/Tech,2080
70,Female,Phd,Data Entry Clerk,52,79,It/Tech,1572
70,Female,Phd,Junior Developer,52,80,It/Tech,2789
70,Female,Phd,Data Entry Clerk,52,79,It/Tech,2146
70,Female,Phd,Data Entry Clerk,52,80,It/Tech,2165
70,Male,Phd,Data Entry Clerk,49,80,It/Tech,2191
53,Male,Phd,Customer Service Rep,31,80,Other,1269
70,Female,Phd,Data Entry Clerk,50,80,It/Tech,1849
70,Female,Phd,Junior Developer,51,80,It/Tech,2274
70,Female,Phd,Junior Developer,52,80,It/Tech,2950
70,Male,Phd,Junior Developer,48,80,It/Tech,1681
70,Male,Phd,Customer Service Rep,52,80,Other,2531
70,Female,Phd,Customer Service Rep,50,80,Other,2525
60,Female,Phd,Customer Service Rep,38,80,Other,1460
70,Female,Phd,Data Entry Clerk,52,80,It/Tech,2275
70,Male,Phd,Junior Developer,52,80,It/Tech,2558
70,Male,Phd,Data Entry Clerk,52,80,It/Tech,2567
63,Male,Phd,Data Entry Clerk,41,80,It/Tech,1752
70,Male,Phd,Customer Service Rep,52,80,Other,2458
58,Male,Phd,Customer Service Rep,36,77,Other,1099
70,Male,Phd,Customer Service Rep,52,80,Other,2574
70,Male,Phd,Junior Developer,52,77,It/Tech,2586
62,Male,Phd,Junior Developer,40,80,It/Tech,1813
66,Female,Phd,Data Entry Clerk,44,80,It/Tech,1826
70,Male,Phd,Customer Service Rep,51,80,Other,2010
67,Female,Phd,Customer Service Rep,45,80,Other,1896
56,Female,Phd,Customer Service Rep,34,80,Other,1837
70,Male,Phd,Customer Service Rep,51,80,Other,1837
61,Male,Phd,Junior Developer,39,80,It/Tech,1962
70,Female,Phd,Customer Service Rep,52,80,Other,2402
63,Female,Phd,Junior Developer,41,80,It/Tech,1733
70,Female,Phd,Data Entry Clerk,52,80,It/Tech,2796
64,Male,Phd,Customer Service Rep,42,80,Other,1810
69,Male,Phd,Junior Developer,47,75,It/Tech,1673
70,Female,Phd,Customer Service Rep,52,80,Other,2752
60,Male,Phd,Data Entry Clerk,38,80,It/Tech,1786
70,Male,Phd,Junior Developer,52,80,It/Tech,2035
70,Male,Phd,Junior Developer,52,80,It/Tech,2671
56,Female,Phd,Data Entry Clerk,34,80,It/Tech,1496
70,Female,Phd,Junior Developer,52,80,It/Tech,2291
70,Female,Phd,Data Entry Clerk,52,80,It/Tech,1932
70,Female,Phd,Junior Developer,52,80,It/Tech,2311
60,Female,Post Graduation,Junior Developer,38,78,It/Tech,1653
59,Male,Phd,Junior Developer,37,71,It/Tech,1409
70,Male,Phd,Junior Developer,52,80,It/Tech,2660
70,Female,Phd,Customer Service Rep,52,80,Other,2134
70,Female,Phd,Customer Service Rep,52,80,Other,1723
70,Female,Phd,Customer Service Rep,52,57,Other,1548
65,Female,Phd,Data Entry Clerk,43,80,It/Tech,1702
70,Male,Phd,Junior Developer,52,74,It/Tech,1853
70,Female,Phd,Customer Service Rep,52,80,Other,2197
65,Female,Phd,Junior Developer,43,80,It/Tech,1954
70,Male,Phd,Customer Service Rep,52,80,Other,2422
70,Male,Phd,Data Entry Clerk,52,80,It/Tech,2781
60,Female,Phd,Junior Developer,38,80,It/Tech,1704
70,Female,Phd,Junior Developer,52,80,It/Tech,2271
62,Female,Phd,Junior Developer,40,50,It/Tech,1380
70,Female,Phd,Junior Developer,52,80,It/Tech,2768
70,Female,Phd,Data Entry Clerk,52,72,It/Tech,1788
64,Female,Phd,Junior Developer,42,67,It/Tech,1376
70,Female,Phd,Customer Service Rep,52,80,Other,2735
70,Female,Phd,Customer Service Rep,52,80,Other,2629
70,Female,Phd,Data Entry Clerk,52,80,It/Tech,2445
70,Male,Phd,Customer Service Rep,52,80,Other,2460
70,Female,Post Graduation,Data Entry Clerk,48,80,It/Tech,2434
64,Male,Phd,Customer Service Rep,42,80,Other,1898
63,Male,Phd,Customer Service Rep,41,80,Other,1726
64,Female,Phd,Customer Service Rep,42,80,Other,1988
70,Female,Phd,Junior Developer,49,80,It/Tech,1981
70,Female,Phd,Junior Developer,52,80,It/Tech,2010
70,Male,Phd,Data Entry Clerk,52,80,It/Tech,2258
70,Male,Phd,Customer Service Rep,52,80,Other,2225
70,Male,Phd,Junior Developer,50,66,It/Tech,1896
70,Female,Phd,Customer Service Rep,52,80,Other,2400
69,Male,Phd,Data Entry Clerk,47,80,It/Tech,1718
70,Male,Phd,Junior Developer,52,78,It/Tech,2381
70,Male,Phd,Customer Service Rep,52,80,Other,2189
63,Female,Phd,Junior Developer,41,80,It/Tech,2155
61,Female,Phd,Junior Developer,39,80,It/Tech,1817
70,Male,Phd,Junior Developer,52,69,It/Tech,1784
70,Male,Phd,Customer Service Rep,48,80,Other,1702
70,Female,Phd,Customer Service Rep,52,80,Other,2475
70,Male,Phd,Junior Developer,52,80,It/Tech,1892
70,Male,Phd,Junior Developer,49,80,It/Tech,1986
64,Male,Phd,Junior Developer,42,80,It/Tech,1814
57,Male,Phd,Data Entry Clerk,35,80,It/Tech,1249
68,Male,Phd,Junior Developer,46,80,It/Tech,1990
70,Male,Phd,Junior Developer,52,73,It/Tech,1779
70,Female,Phd,Junior Developer,52,80,It/Tech,2148
60,Female,Phd,Data Entry Clerk,38,80,It/Tech,1459
70,Female,Phd,Data Entry Clerk,52,68,It/Tech,1651
70,Female,Phd,Junior Developer,52,80,It/Tech,2469
63,Male,Phd,Data Entry Clerk,41,80,It/Tech,1567
70,Female,Phd,Customer Service Rep,52,80,Other,2211
70,Female,Phd,Customer Service Rep,51,80,Other,2020
61,Male,Phd,Customer Service Rep,39,80,Other,1985
70,Female,Phd,Customer Service Rep,52,80,Other,2225
70,Male,Phd,Customer Service Rep,52,80,Other,2013
70,Male,Phd,Junior Developer,52,80,It/Tech,2496
70,Male,Phd,Junior Developer,52,80,It/Tech,2711
58,Male,Phd,Customer Service Rep,36,80,Other,1807
63,Female,Phd,Data Entry Clerk,41,80,It/Tech,1625
70,Female,Phd,Junior Developer,52,80,It/Tech,2214
70,Female,Phd,Junior Developer,52,80,It/Tech,2041
70,Female,Phd,Data Entry Clerk,52,72,It/Tech,2052
70,Male,Phd,Customer Service Rep,52,80,Other,3226
70,Female,Phd,Data Entry Clerk,52,75,It/Tech,2005
70,Male,Phd,Data Entry Clerk,52,80,It/Tech,2179
70,Female,Phd,Customer Service Rep,52,80,Other,1921
70,Female,Phd,Customer Service Rep,52,80,Other,2439
69,Female,Phd,Junior Developer,47,80,It/Tech,1774
70,Female,Phd,Junior Developer,52,80,It/Tech,2359
64,Female,Phd,Data Entry Clerk,42,80,It/Tech,1642
70,Male,Phd,Data Entry Clerk,48,80,It/Tech,1988
67,Female,Phd,Customer Service Rep,45,80,Other,1790
70,Female,Phd,Data Entry Clerk,51,80,It/Tech,2434
70,Female,Phd,Customer Service Rep,52,76,Other,2458
53,Male,Phd,Customer Service Rep,31,80,Other,1652
70,Male,Phd,Data Entry Clerk,52,80,It/Tech,2569
56,Female,Phd,Customer Service Rep,34,80,Other,1591
67,Female,Phd,Data Entry Clerk,45,80,It/Tech,1680
70,Male,Phd,Customer Service Rep,52,80,Other,2441
70,Male,Phd,Customer Service Rep,51,80,Other,1954
61,Male,Phd,Junior Developer,39,80,It/Tech,1696
65,Male,Phd,Customer Service Rep,43,80,Other,2088
70,Female,Phd,Junior Developer,52,80,It/Tech,2978
65,Female,Phd,Customer Service Rep,43,80,Other,1605
70,Female,Phd,Data Entry Clerk,52,73,It/Tech,1825
70,Female,Phd,Customer Service Rep,50,80,Other,1940
65,Male,Phd,Junior Developer,43,80,It/Tech,2501
70,Female,Phd,Data Entry Clerk,52,80,It/Tech,2446
70,Male,Phd,Customer Service Rep,52,80,Other,2291
52,Male,Phd,Junior Developer,30,80,It/Tech,1593
70,Female,Phd,Junior Developer,52,80,It/Tech,1694
65,Male,Phd,Junior Developer,43,80,It/Tech,1851
70,Female,Phd,Customer Service Rep,52,80,Other,2695
64,Male,Phd,Data Entry Clerk,42,80,It/Tech,1859
70,Male,Phd,Data Entry Clerk,49,80,It/Tech,2032
70,Male,Phd,Customer Service Rep,52,80,Other,2094
70,Male,Phd,Junior Developer,52,80,It/Tech,2169
60,Male,Phd,Customer Service Rep,38,80,Other,1324
69,Female,Phd,Junior Developer,47,76,It/Tech,1734
67,Male,Phd,Data Entry Clerk,45,80,It/Tech,1954
65,Male,Phd,Customer Service Rep,43,80,Other,1771
70,Male,Phd,Customer Service Rep,52,80,Other,2661
70,Male,Phd,Customer Service Rep,52,69,Other,2049
59,Male,Phd,Data Entry Clerk,37,80,It/Tech,1461
70,Male,Phd,Data Entry Clerk,52,80,It/Tech,2675
70,Male,Phd,Customer Service Rep,52,60,Other,2225
70,Male,Phd,Junior Developer,52,80,It/Tech,2049
57,Male,Phd,Junior Developer,35,80,It/Tech,1965
67,Female,Phd,Data Entry Clerk,45,76,It/Tech,1466
70,Male,Phd,Data Entry Clerk,52,80,It/Tech,2664
65,Male,Phd,Data Entry Clerk,43,80,It/Tech,1965
70,Male,Phd,Data Entry Clerk,52,80,It/Tech,2259
70,Male,Phd,Junior Developer,52,80,It/Tech,2295
63,Female,Phd,Customer Service Rep,41,80,Other,2093
70,Female,Phd,Junior Developer,49,80,It/Tech,2066
40,Male,Phd,Junior Developer,18,80,It/Tech,869
62,Female,Phd,Junior Developer,40,80,It/Tech,1304
69,Male,Phd,Customer Service Rep,47,80,Other,1799
60,Male,Phd,Junior Developer,38,72,It/Tech,1287
70,Male,Phd,Junior Developer,52,80,It/Tech,2722
58,Female,Phd,Junior Developer,36,80,It/Tech,1155
68,Male,Phd,Data Entry Clerk,46,80,It/Tech,1784
70,Male,Phd,Data Entry Clerk,51,80,It/Tech,2169
70,Male,Phd,Data Entry Clerk,52,80,It/Tech,2589
58,Male,Phd,Data Entry Clerk,36,80,It/Tech,1957
70,Female,Phd,Customer Service Rep,52,78,Other,1962
70,Male,Phd,Data Entry Clerk,50,80,It/Tech,1845
62,Female,Phd,Customer Service Rep,40,80,Other,1803
70,Female,Phd,Customer Service Rep,52,80,Other,2172
70,Female,Phd,Data Entry Clerk,52,80,It/Tech,2558
66,Female,Phd,Data Entry Clerk,44,80,It/Tech,1919
70,Male,Phd,Junior Developer,51,80,It/Tech,2011
68,Female,Phd,Customer Service Rep,46,80,Other,1660
70,Female,Phd,Customer Service Rep,51,80,Other,1867
70,Female,Phd,Data Entry Clerk,52,80,It/Tech,2292
70,Female,Phd,Data Entry Clerk,52,80,It/Tech,2399
60,Male,Phd,Data Entry Clerk,38,80,It/Tech,1853
70,Female,Phd,Junior Developer,52,80,It/Tech,2412
52,Female,Phd,Data Entry Clerk,30,73,It/Tech,827
70,Female,Phd,Customer Service Rep,48,63,Other,1423
70,Female,Phd,Data Entry Clerk,52,80,It/Tech,2138
70,Female,Phd,Data Entry Clerk,52,78,It/Tech,1884
66,Female,Phd,Junior Developer,44,57,It/Tech,1680
70,Male,Phd,Customer Service Rep,48,80,Other,1742
67,Female,Phd,Junior Developer,45,80,It/Tech,2374
66,Male,Phd,Junior Developer,44,80,It/Tech,1765
70,Female,Phd,Data Entry Clerk,52,80,It/Tech,2646
70,Female,Phd,Data Entry Clerk,52,80,It/Tech,2259
65,Male,Phd,Junior Developer,43,80,It/Tech,1559
70,Female,Phd,Junior Developer,52,80,It/Tech,2426
70,Female,Phd,Customer Service Rep,52,80,Other,1852
70,Female,Phd,Junior Developer,52,80,It/Tech,2420
70,Female,Phd,Customer Service Rep,52,80,Other,2250
64,Male,Phd,Junior Developer,42,80,It/Tech,1726
66,Male,Phd,Junior Developer,44,80,It/Tech,2087
70,Male,Phd,Data Entry Clerk,52,80,It/Tech,2083
70,Female,Phd,Customer Service Rep,52,80,Other,1880
70,Male,Phd,Data Entry Clerk,50,80,It/Tech,1932
70,Female,Phd,Junior Developer,51,80,It/Tech,1676
70,Male,Phd,Customer Service Rep,52,80,Other,2389
66,Male,Phd,Junior Developer,44,80,It/Tech,1925
70,Female,Phd,Customer Service Rep,52,80,Other,2065
70,Male,Phd,Junior Developer,48,80,It/Tech,2238
70,Male,Phd,Data Entry Clerk,48,80,It/Tech,1884
70,Male,Phd,Customer Service Rep,52,80,Other,2563
70,Male,Phd,Data Entry Clerk,52,80,It/Tech,2577
70,Male,Phd,Data Entry Clerk,52,80,It/Tech,2443
70,Female,Phd,Junior Developer,52,80,It/Tech,2242
70,Male,Phd,Data Entry Clerk,50,74,It/Tech,1768
70,Male,Phd,Junior Developer,52,79,It/Tech,1679
69,Female,Phd,Data Entry Clerk,47,80,It/Tech,1651
70,Male,Phd,Customer Service Rep,52,80,Other,1923
70,Male,Phd,Data Entry Clerk,49,80,It/Tech,1679
70,Male,Phd,Junior Developer,51,80,It/Tech,2073
70,Male,Phd,Junior Developer,52,80,It/Tech,2142
64,Male,Phd,Customer Service Rep,42,80,Other,1456
70,Female,Phd,Data Entry Clerk,52,80,It/Tech,2686
62,Female,Phd,Data Entry Clerk,40,80,It/Tech,1772
60,Female,Phd,Data Entry Clerk,38,60,It/Tech,1097
70,Female,Phd,Data Entry Clerk,52,80,It/Tech,1835
70,Male,Phd,Customer Service Rep,52,80,Other,2424
70,Female,Phd,Junior Developer,52,76,It/Tech,1951
70,Female,Phd,Data Entry Clerk,52,80,It/Tech,2343
70,Male,Phd,Data Entry Clerk,50,80,It/Tech,2549
63,Female,Phd,Customer Service Rep,41,80,Other,2113
70,Male,Phd,Data Entry Clerk,51,80,It/Tech,2191
65,Male,Phd,Junior Developer,43,80,It/Tech,2228
70,Female,Phd,Data Entry Clerk,52,80,It/Tech,2247
70,Male,Phd,Data Entry Clerk,49,80,It/Tech,1893
64,Male,Phd,Junior Developer,42,80,It/Tech,1307
69,Male,Phd,Junior Developer,47,80,It/Tech,1951
70,Female,Phd,Data Entry Clerk,52,80,It/Tech,1922
66,Female,Phd,Data Entry Clerk,44,80,It/Tech,1858
64,Female,Phd,Customer Service Rep,42,80,Other,1770
70,Female,Phd,Customer Service Rep,52,80,Other,1767
70,Male,Phd,Data Entry Clerk,52,80,It/Tech,2215
67,Male,Phd,Customer Service Rep,45,80,Other,2067
67,Female,Phd,Data Entry Clerk,45,80,It/Tech,2057
70,Male,Phd,Data Entry Clerk,52,70,It/Tech,1564
58,Male,Phd,Customer Service Rep,36,49,Other,1127
58,Male,Phd,Junior Developer,36,80,It/Tech,1402
65,Female,Phd,Junior Developer,43,73,It/Tech,1666
70,Female,Phd,Data Entry Clerk,48,80,It/Tech,1988
70,Female,Phd,Junior Developer,52,77,It/Tech,1822
70,Male,Phd,Junior Developer,52,64,It/Tech,2318
70,Female,Phd,Junior Developer,52,80,It/Tech,2292
70,Male,Phd,Customer Service Rep,48,80,Other,2090
70,Male,Phd,Data Entry Clerk,50,80,It/Tech,1828
62,Female,Phd,Data Entry Clerk,40,48,It/Tech,1113
70,Female,Phd,Data Entry Clerk,50,80,It/Tech,2125
69,Male,Phd,Data Entry Clerk,47,80,It/Tech,1909
70,Male,Phd,Customer Service Rep,52,70,Other,1864
64,Male,Phd,Customer Service Rep,42,80,Other,1746
70,Male,Phd,Data Entry Clerk,52,80,It/Tech,2106
70,Female,Phd,Junior Developer,52,80,It/Tech,2838
70,Male,Phd,Junior Developer,49,80,It/Tech,1913
70,Female,Phd,Junior Developer,52,80,It/Tech,1499
70,Male,Phd,Customer Service Rep,52,80,Other,2680
68,Female,Phd,Junior Developer,46,80,It/Tech,1680
70,Male,Phd,Junior Developer,52,80,It/Tech,2146
70,Female,Phd,Data Entry Clerk,50,80,It/Tech,1893
70,Female,Phd,Customer Service Rep,51,80,Other,1724
64,Male,Phd,Data Entry Clerk,42,80,It/Tech,1303
70,Female,Phd,Junior Developer,50,80,It/Tech,1848
70,Male,Phd,Junior Developer,52,80,It/Tech,2572
70,Male,Phd,Data Entry Clerk,52,73,It/Tech,2243
70,Male,Phd,Customer Service Rep,52,68,Other,2104
70,Female,Phd,Junior Developer,52,80,It/Tech,3117
64,Male,Phd,Data Entry Clerk,42,80,It/Tech,1690
70,Female,Phd,Customer Service Rep,52,80,Other,2098
70,Male,Phd,Customer Service Rep,52,80,Other,2222
70,Female,Phd,Data Entry Clerk,52,80,It/Tech,2318
64,Female,Phd,Data Entry Clerk,42,80,It/Tech,1919
64,Female,Phd,Junior Developer,42,80,It/Tech,1729
66,Female,Phd,Junior Developer,44,80,It/Tech,1958
51,Male,Phd,Data Entry Clerk,29,80,It/Tech,1726
67,Male,Phd,Customer Service Rep,45,80,Other,1520
64,Female,Phd,Data Entry Clerk,42,80,It/Tech,1848
70,Male,Phd,Junior Developer,52,80,It/Tech,1936
70,Female,Phd,Data Entry Clerk,52,80,It/Tech,2215
70,Female,Phd,Junior Developer,52,80,It/Tech,2982
70,Male,Phd,Junior Developer,52,80,It/Tech,2163
66,Female,Phd,Customer Service Rep,44,80,Other,1535
63,Female,Phd,Customer Service Rep,41,80,Other,1799
70,Male,Phd,Customer Service Rep,52,80,Other,1939
59,Male,Phd,Data Entry Clerk,37,80,It/Tech,1863
70,Male,Phd,Customer Service Rep,52,80,Other,2431
70,Male,Phd,Junior Developer,52,80,It/Tech,2107
67,Female,Phd,Data Entry Clerk,45,80,It/Tech,1777
55,Male,Phd,Customer Service Rep,33,73,Other,1174
70,Female,Phd,Customer Service Rep,52,80,Other,2364
70,Female,Phd,Customer Service Rep,49,80,Other,2154
70,Male,Phd,Junior Developer,52,80,It/Tech,2274
56,Male,Phd,Data Entry Clerk,34,79,It/Tech,1331
66,Female,Phd,Customer Service Rep,44,80,Other,1931
70,Female,Phd,Data Entry Clerk,50,80,It/Tech,2387
70,Male,Phd,Junior Developer,50,80,It/Tech,2068
67,Female,Phd,Junior Developer,45,80,It/Tech,2039
70,Female,Phd,Data Entry Clerk,52,80,It/Tech,2064
61,Male,Phd,Junior Developer,39,72,It/Tech,1323
70,Male,Phd,Customer Service Rep,49,80,Other,2058
70,Male,Phd,Junior Developer,51,80,It/Tech,1745
70,Female,Phd,Customer Service Rep,52,80,Other,1876
70,Female,Phd,Customer Service Rep,52,80,Other,2734
61,Female,Phd,Data Entry Clerk,39,80,It/Tech,2019
57,Male,Phd,Data Entry Clerk,35,80,It/Tech,1680
70,Male,Phd,Customer Service Rep,52,80,Other,2733
70,Female,Phd,Data Entry Clerk,52,80,It/Tech,1747
65,Male,Phd,Junior Developer,43,80,It/Tech,1873
70,Male,Phd,Customer Service Rep,52,80,Other,2309
70,Male,Phd,Junior Developer,51,80,It/Tech,1990
70,Female,Phd,Customer Service Rep,52,80,Other,2704
70,Male,Phd,Customer Service Rep,51,80,Other,2044
70,Male,Phd,Data Entry Clerk,52,80,It/Tech,2373
70,Female,Phd,Data Entry Clerk,52,80,It/Tech,2951
70,Female,Phd,Junior Developer,48,80,It/Tech,1695
70,Female,Phd,Data Entry Clerk,52,80,It/Tech,2207
70,Male,Phd,Customer Service Rep,52,79,Other,2080
70,Female,Phd,Data Entry Clerk,52,61,It/Tech,2032
62,Male,Phd,Data Entry Clerk,40,80,It/Tech,1903
70,Female,Phd,Customer Service Rep,52,78,Other,1884
70,Male,Phd,Customer Service Rep,52,80,Other,2225
54,Male,Phd,Customer Service Rep,32,80,Other,1647
60,Male,Phd,Data Entry Clerk,38,80,It/Tech,1616
52,Female,Phd,Data Entry Clerk,30,80,It/Tech,1413
69,Male,Phd,Customer Service Rep,47,80,Other,2198
70,Female,Phd,Customer Service Rep,52,80,Other,2306
70,Female,Phd,Junior Developer,52,80,It/Tech,2676
70,Male,Phd,Junior Developer,51,80,It/Tech,1949
70,Male,Phd,Junior Developer,52,80,It/Tech,2568
58,Male,Phd,Junior Developer,36,80,It/Tech,1905
55,Female,Phd,Junior Developer,33,80,It/Tech,1691
70,Female,Phd,Junior Developer,49,80,It/Tech,2207
70,Female,Phd,Junior Developer,52,80,It/Tech,2426
70,Male,Phd,Junior Developer,50,80,It/Tech,2094
51,Female,Phd,Data Entry Clerk,29,80,It/Tech,1373
70,Male,Phd,Data Entry Clerk,49,74,It/Tech,1655
59,Female,Phd,Customer Service Rep,37,80,Other,1562
70,Female,Phd,Data Entry Clerk,52,80,It/Tech,2123
70,Male,Phd,Junior Developer,52,80,It/Tech,2198
63,Female,Phd,Junior Developer,41,80,It/Tech,1908
67,Male,Phd,Junior Developer,45,80,It/Tech,2245
61,Male,Phd,Customer Service Rep,39,80,Other,1646
70,Female,Phd,Customer Service Rep,49,80,Other,1853
70,Male,Phd,Customer Service Rep,52,80,Other,2760
62,Male,Phd,Customer Service Rep,40,80,Other,1775
70,Male,Phd,Junior Developer,52,80,It/Tech,2471
67,Male,Phd,Data Entry Clerk,45,80,It/Tech,1892
64,Female,Phd,Junior Developer,42,65,It/Tech,1418
70,Male,Phd,Customer Service Rep,49,80,Other,1829
62,Male,Phd,Junior Developer,40,80,It/Tech,2091
66,Female,Phd,Data Entry Clerk,44,80,It/Tech,2170
60,Female,Phd,Junior Developer,38,80,It/Tech,1756
70,Male,Phd,Data Entry Clerk,52,80,It/Tech,2476
70,Female,Phd,Customer Service Rep,50,76,Other,1629
65,Female,Phd,Customer Service Rep,43,80,Other,1778
70,Male,Phd,Junior Developer,52,80,It/Tech,1873
70,Male,Phd,Data Entry Clerk,49,80,It/Tech,1909
70,Female,Phd,Customer Service Rep,48,80,Other,1908
70,Female,Phd,Customer Service Rep,52,80,Other,2586
70,Female,Phd,Customer Service Rep,52,80,Other,2092
67,Male,Phd,Data Entry Clerk,45,76,It/Tech,1555
